title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Vauxhall Corsa,1495,88585,2008,4.0,Petrol,Hatchback,1.2L,Manual
MINI Hatch,2395,96731,2010,5.0,Petrol,Hatchback,1.4L,Manual
Hyundai Coupe,800,124196,2007,3.0,Petrol,Coupe,2.0L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
Vauxhall Astra,1200,134000,2004,5.0,Petrol,Hatchback,1.8L,Automatic
Ford Mondeo,1195,101000,2010,3.0,Diesel,Hatchback,1.8L,Manual
Ford KA,990,69000,2003,3.0,Petrol,Hatchback,1.3L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Citroen C4,3399,55000,2011,2.0,Petrol,Hatchback,1.6L,Manual
SKODA Fabia,1990,150000,2007,2.0,Diesel,Hatchback,1.9L,Manual
Ford Focus,1200,95000,2009,3.0,Diesel,Hatchback,1.8L,Manual
Mazda Mazda2,1490,135800,2008,3.0,Petrol,Hatchback,1.3L,Manual
Volkswagen Polo,2800,106305,2011,4.0,Petrol,Hatchback,1.2L,Manual
BMW 1 Series,2490,86000,2011,3.0,Petrol,Coupe,2.0L,Manual
Vauxhall Corsa,1695,75786,2008,3.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Corsa,1795,99905,2010,5.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Astra,1250,178000,2007,4.0,Petrol,Hatchback,1.8L,Automatic
Vauxhall Corsa,1999,122000,2009,3.0,Petrol,Hatchback,1.4L,Automatic
Ford Focus,1290,119000,2002,4.0,Petrol,Hatchback,1.6L,Automatic
Volkswagen Polo,1449,111400,2008,4.0,Petrol,Hatchback,1.2L,Manual
Honda Accord,1400,155085,2004,2.0,Petrol,Estate,2.4L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Ford Focus,1795,104020,2010,4.0,Petrol,Hatchback,1.8L,Manual
Peugeot 207,1699,92000,2009,3.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Beetle,700,101000,2003,5.0,Petrol,Convertible,2.0L,Manual
Vauxhall Astra,3250,100312,2013,3.0,Petrol,Hatchback,1.4L,Manual
Ford C-max,1250,135000,2008,5.0,Petrol,MPV,2.0L,Automatic
Honda Civic,1900,132000,2008,6.0,Petrol,Hatchback,1.8L,Automatic
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Honda Civic,1000,160000,2008,5.0,Diesel,Hatchback,2.2L,Manual
Citroen C1,1490,65500,2008,3.0,Petrol,Hatchback,1.0L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
Toyota Auris,1695,115000,2007,6.0,Petrol,Hatchback,1.4L,Manual
Hyundai i30,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
Volvo S40,2849,101000,2009,4.0,Petrol,Saloon,1.6L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Ford Mondeo,1990,84815,2003,5.0,Petrol,Hatchback,3.0L,Manual
Vauxhall Meriva,1600,78521,2011,2.0,Diesel,MPV,1.3L,Manual
BMW 3 Series,2495,171090,2010,3.0,Petrol,Saloon,2.0L,Manual
Nissan 350 Z,4300,100479,2004,3.0,Petrol,Coupe,3.5L,Manual
MINI Hatch,2499,68000,2008,4.0,Petrol,Hatchback,1.6L,Manual
Alfa Romeo Mito,1500,120000,2011,2.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,2495,113000,2009,6.0,Petrol,Saloon,2.0L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Astra,3300,71000,2012,4.0,Petrol,Hatchback,1.4L,Manual
Renault Fluence,2490,67104,2010,1.0,Diesel,Saloon,1.5L,Manual
BMW 3 Series,1995,75350,2005,3.0,Petrol,Saloon,1.8L,Automatic
Honda Accord,3490,22641,2006,2.0,Petrol,Saloon,2.0L,Manual
BMW 3 Series,2490,104392,2010,4.0,Petrol,Saloon,2.0L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
Ford Focus,988,111479,2005,2.0,Petrol,Hatchback,1.6L,Manual
Citroen XM,3250,126000,1995,4.0,Diesel,Hatchback,2.5L,Manual
MINI Hatch,1395,99911,2003,4.0,Petrol,Hatchback,1.6L,Manual
MINI Hatch,2490,46000,2007,3.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Insignia,3799,114000,2014,3.0,Petrol,Hatchback,1.8L,Manual
Peugeot 207,2945,66000,2008,3.0,Petrol,Hatchback,1.6L,Automatic
Nissan Note,2499,65000,2009,3.0,Petrol,Hatchback,1.4L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
Vauxhall Corsa,1850,93000,2009,4.0,Petrol,Hatchback,1.4L,Manual
Peugeot 207,1990,51116,2008,3.0,Petrol,Hatchback,1.4L,Manual
Nissan Micra,1895,111998,2007,2.0,Petrol,Hatchback,1.2L,Automatic
Vauxhall Astra,1995,93101,2008,6.0,Petrol,Hatchback,1.6L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
Mazda Mazda2,2495,97000,2008,2.0,Petrol,Hatchback,1.5L,Manual
Vauxhall Corsa,2700,84000,2014,3.0,Diesel,Hatchback,1.3L,Manual
Renault Clio,1400,92000,2006,1.0,Petrol,Hatchback,1.4L,Manual
Hyundai i20,1500,100600,2010,4.0,Petrol,Hatchback,1.2L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Citroen C3,1300,120000,2010,1.0,Petrol,Hatchback,1.6L,Manual
Toyota Yaris,2999,27682,2007,3.0,Petrol,Hatchback,1.3L,Manual
BMW 1 Series,2495,89900,2007,4.0,Petrol,Hatchback,1.6L,Manual
Fiat 500,2499,80742,2011,3.0,Petrol,Hatchback,1.2L,Manual
SEAT Ibiza,2394,55926,2008,3.0,Petrol,Hatchback,1.4L,Manual
Hyundai i30,1999,105000,2010,7.0,Petrol,Hatchback,1.4L,Manual
Audi A4,3995,89000,2008,4.0,Petrol,Saloon,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Ford S-max,1839,103900,2009,4.0,Diesel,MPV,2.0L,Manual
Volkswagen Polo,2595,102000,2010,2.0,Diesel,Hatchback,1.6L,Manual
Honda Civic,4700,95000,2011,7.0,Petrol,Hatchback,1.4L,Automatic
Vauxhall Corsa,990,130000,2006,1.0,Petrol,Hatchback,1.2L,Manual
Peugeot 307 CC,1950,70345,2008,5.0,Petrol,Convertible,1.6L,Manual
Citroen C1,1390,97000,2011,3.0,Petrol,Hatchback,1.0L,Manual
Hyundai i20,3495,112000,2010,2.0,Petrol,Hatchback,1.4L,Automatic
Ford Focus,2350,89000,2010,6.0,Diesel,Hatchback,1.6L,Manual
Honda Jazz,1399,171000,2007,1.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,2599,99000,2007,1.0,Petrol,Saloon,3.0L,Manual
Vauxhall Corsa,2795,71000,2011,3.0,Petrol,Hatchback,1.0L,Manual
Vauxhall Corsa,3999,36000,2014,2.0,Petrol,Hatchback,1.4L,Manual
Citroen DS4,2700,97385,2013,4.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
KIA RIO,3250,66800,2013,1.0,Petrol,Hatchback,1.3L,Manual
Volkswagen Golf,2950,98207,2007,4.0,Petrol,Hatchback,1.6L,Automatic
Mazda Mazda3,3799,68000,2011,2.0,Petrol,Hatchback,1.6L,Manual
Toyota Yaris,1100,164470,2006,3.0,Petrol,Hatchback,1.3L,Manual
Ford Fiesta,2995,67361,2009,1.0,Petrol,Hatchback,1.3L,Manual
Mitsubishi Outlander,4495,116000,2009,3.0,Petrol,SUV,2.4L,Automatic
Volkswagen Scirocco,3750,99000,2010,3.0,Petrol,Hatchback,1.4L,Manual
Toyota Corolla,995,110846,2005,3.0,Diesel,Hatchback,2.0L,Manual
SEAT Ibiza,3350,65000,2013,4.0,Petrol,Hatchback,1.4L,Manual
Audi A3,2499,85578,2008,5.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Corsa,2100,77502,2012,5.0,Petrol,Hatchback,1.2L,Manual
Audi A3,1800,130500,2011,2.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
Vauxhall Astra,2300,64000,2010,6.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Corsa,1500,96270,2008,9.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Zafira,2495,95000,2011,2.0,Petrol,MPV,1.8L,Manual
Fiat Grande Punto,1999,76850,2009,3.0,Petrol,Hatchback,1.4L,Manual
Mercedes-Benz B Class,2299,99000,2009,4.0,Diesel,MPV,2.0L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Insignia,3450,147000,2016,2.0,Diesel,Hatchback,1.6L,Manual
Renault Clio,1899,82000,2009,2.0,Petrol,Hatchback,1.2L,Manual
Saab 9-3,2000,138000,2008,6.0,Petrol,Saloon,2.0L,Automatic
Volkswagen Golf,2490,59042,2006,3.0,Diesel,Hatchback,1.9L,Manual
